YearMonth,Ticker,Risk_Reversal_25,ATM_IV
2005-01,XLB US Equity,0.00015000000000001124,0.14671299999999998
2005-01,XLE US Equity,-0.0037399999999999933,0.18524000000000002
2005-01,XLF US Equity,0.0012159999999999949,0.127392
2005-01,XLI US Equity,-0.00695599999999999,0.13089
2005-01,XLK US Equity,-0.012085000000000012,0.1520935
2005-01,XLP US Equity,-0.00594900000000001,0.1030465
2005-01,XLU US Equity,0.011848999999999985,0.12214349999999999
2005-01,XLV US Equity,-0.001790999999999987,0.1456905
2005-01,XLY US Equity,-0.01975099999999999,0.1149275
2005-02,XLB US Equity,0.007860000000000006,0.15646700000000002
2005-02,XLE US Equity,-0.01503199999999999,0.223739
2005-02,XLF US Equity,-0.006510999999999989,0.1321195
2005-02,XLI US Equity,-0.0024379999999999957,0.120243
2005-02,XLK US Equity,0.0022970000000000212,0.15006049999999999
2005-02,XLP US Equity,-0.0065790000000000015,0.1089575
2005-02,XLU US Equity,-0.01167,0.127097
2005-02,XLV US Equity,-0.007414999999999991,0.1276935
2005-02,XLY US Equity,-0.00840600000000001,0.121416
2005-03,XLB US Equity,-0.008328000000000002,0.187879
2005-03,XLE US Equity,0.0013829999999999953,0.24815749999999998
2005-03,XLF US Equity,-0.009212999999999999,0.1467985
2005-03,XLI US Equity,-0.0041080000000000005,0.142989
2005-03,XLK US Equity,-0.0011419999999999764,0.156557
2005-03,XLP US Equity,-0.007283999999999999,0.104108
2005-03,XLU US Equity,-0.0015720000000000178,0.146839
2005-03,XLV US Equity,0.0012290000000000079,0.12572850000000002
2005-03,XLY US Equity,-0.002935000000000021,0.1485755
2005-04,XLB US Equity,0.006610000000000005,0.2367
2005-04,XLE US Equity,-0.0003410000000000357,0.2745785
2005-04,XLF US Equity,0.0069079999999999975,0.15769699999999998
2005-04,XLI US Equity,-0.009115999999999985,0.16125499999999998
2005-04,XLK US Equity,-0.0046579999999999955,0.161671
2005-04,XLP US Equity,0.0021990000000000065,0.1274335
2005-04,XLU US Equity,0.0019550000000000123,0.1433435
2005-04,XLV US Equity,0.005527000000000004,0.1169635
2005-04,XLY US Equity,0.0015249999999999986,0.1781675
2005-05,XLB US Equity,0.0012530000000000041,0.1960105
2005-05,XLE US Equity,7.70000000000215e-05,0.2309605
2005-05,XLF US Equity,-0.0030569999999999764,0.1283455
2005-05,XLI US Equity,0.008479000000000014,0.1329495
2005-05,XLK US Equity,0.0036629999999999996,0.14448450000000002
2005-05,XLP US Equity,-0.0016110000000000013,0.1073805
2005-05,XLU US Equity,-0.01981100000000001,0.1344965
2005-05,XLV US Equity,-0.002362000000000003,0.119351
2005-05,XLY US Equity,0.004261999999999988,0.132378
2005-06,XLB US Equity,-0.008764999999999995,0.1815585
2005-06,XLE US Equity,0.0009409999999999974,0.2372995
2005-06,XLF US Equity,0.0016649999999999998,0.1206055
2005-06,XLI US Equity,0.005460999999999994,0.1221105
2005-06,XLK US Equity,-0.004728999999999983,0.1349445
2005-06,XLP US Equity,0.004118999999999998,0.10698250000000001
2005-06,XLU US Equity,-0.005098999999999992,0.1174645
2005-06,XLV US Equity,-0.009105000000000002,0.1102685
2005-06,XLY US Equity,-0.003256000000000009,0.12796000000000002
2005-07,XLB US Equity,-0.00941599999999998,0.173706
2005-07,XLE US Equity,-0.0016589999999999938,0.2252185
2005-07,XLF US Equity,-0.008962999999999999,0.1064255
2005-07,XLI US Equity,-0.007504999999999998,0.1136645
2005-07,XLK US Equity,-0.0030699999999999894,0.120949
2005-07,XLP US Equity,0.006075999999999998,0.097612
2005-07,XLU US Equity,0.0007720000000000088,0.116169
2005-07,XLV US Equity,0.0010469999999999924,0.0993585
2005-07,XLY US Equity,-0.012808,0.11763100000000001
2005-08,XLB US Equity,-0.008618999999999988,0.1932645
2005-08,XLE US Equity,0.002804000000000001,0.22887400000000002
2005-08,XLF US Equity,0.011950000000000016,0.1212
2005-08,XLI US Equity,-0.009099999999999997,0.124498
2005-08,XLK US Equity,-0.0048829999999999985,0.1429645
2005-08,XLP US Equity,-0.005115000000000008,0.1086805
2005-08,XLU US Equity,0.0027500000000000024,0.134285
2005-08,XLV US Equity,0.0003060000000000007,0.104127
2005-08,XLY US Equity,0.001704000000000011,0.143532
2005-09,XLB US Equity,-0.002682999999999991,0.1753025
2005-09,XLE US Equity,-0.003165000000000001,0.2439095
2005-09,XLF US Equity,-0.0029870000000000035,0.1250965
2005-09,XLI US Equity,0.005426999999999987,0.1258555
2005-09,XLK US Equity,0.0037810000000000066,0.1281985
2005-09,XLP US Equity,0.009928999999999993,0.1072535
2005-09,XLU US Equity,0.006204999999999988,0.1241345
2005-09,XLV US Equity,-0.010530999999999985,0.13172250000000002
